,age.at.death,age,alive,male,height,weight
0,,63.0,1,1.0,151.765,47.8256065
1,,63.0,1,0.0,139.7,36.4858065
2,,65.0,1,0.0,136.525,31.864838
3,72.0,72.0,0,0.0,,
4,,41.0,1,1.0,156.845,53.041914500000004
5,,51.0,1,0.0,145.415,41.276872
6,,35.0,1,1.0,163.83,62.992589
7,,32.0,1,0.0,149.225,38.2434755
8,,27.0,1,1.0,168.91,55.4799715
9,,19.0,1,0.0,147.955,34.869885
10,,54.0,1,1.0,165.1,54.487739000000005
11,,47.0,1,0.0,154.305,49.89512
12,,66.0,1,1.0,151.13,41.220172999999996
13,,73.0,1,0.0,144.78,36.0322145
14,,20.0,1,0.0,149.9,47.7
15,65.3,65.3,0,0.0,150.495,33.849303000000006
16,,36.0,1,1.0,163.195,48.5626935
17,,44.0,1,1.0,157.48,42.3258035
18,,31.0,1,0.0,143.9418,38.3568735
19,,12.0,1,1.0,121.92,19.617854
20,,8.0,1,0.0,105.41,13.947954000000001
21,6.5,6.5,0,0.0,86.36,10.489315
22,,39.0,1,1.0,161.29,48.987936
23,,29.0,1,0.0,156.21,42.722696500000005
24,,13.0,1,1.0,129.54,23.586783999999998
25,,7.0,1,0.0,109.22,15.989118
26,,56.0,1,1.0,146.4,35.493574
27,,45.0,1,0.0,148.59,37.9032815
28,,19.0,1,0.0,147.32,35.4652245
29,,17.0,1,1.0,137.16,27.328917999999998
30,,16.0,1,0.0,125.73,22.6796
31,,11.0,1,1.0,114.3,17.860185
32,,29.0,1,1.0,147.955,40.312989
33,,30.0,1,1.0,161.925,55.111428000000004
34,,24.0,1,0.0,146.05,37.5063885
35,,6.0,1,1.0,,
36,,35.0,1,0.0,146.05,38.498621
37,,33.0,1,0.0,152.7048,46.606578000000006
38,,27.0,1,0.0,142.875,38.838815000000004
39,,32.0,1,0.0,142.875,35.578622499999994
40,,36.0,1,0.0,147.955,47.400364
41,,24.0,1,1.0,160.655,47.8823055
42,,30.0,1,1.0,151.765,49.4131785
