#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
9	319000	958000	638168	64
24	2977000	6342000	4659418	14
34	7420000	11132000	9275893	10
56	5962000	17888000	11925078	12
69	4912000	7369000	6140343	6
106	1576000	4731000	3153397	9
122	6222000	9334000	7777997	5
124	5461000	9315000	7387897	6
139	826000	1765000	1295360	106
140	688000	2067000	1377933	7
158	2253000	3380000	2816290	18
159	2436000	3655000	3045648	40
160	911000	1367000	1139090	74
162	2365000	4258000	3311441	10
164	1779000	2669000	2224027	5
172	3103000	4655000	3879078	7
173	3701000	5552000	4626336	307
174	3109000	4665000	3887007	44
192	3550000	10651000	7100241	31
193	5968000	9403000	7685216	4
195	1410000	2116000	1763037	11932
196	1410000	2116000	1762598	149
197	1374000	2063000	1718573	29825
198	1426000	2140000	1782667	43
199	1328000	2539000	1933642	226
201	1192000	1877000	1534291	310
204	1575000	2800000	2187351	11
206	1402000	2105000	1753386	9
210	1304000	1958000	1630904	1608
212	1221000	1833000	1527018	8
213	1704000	2557000	2130337	38
214	1287000	1931000	1609110	23
215	1752000	2629000	2190812	4
216	1764000	2647000	2205704	5
235	2627000	3941000	3283799	249
236	2632000	3949000	3290674	17
238	3129000	4694000	3911419	25
247	2335000	4938000	3636346	5
250	2599000	7798000	5198625	5
253	3763000	6083000	4922946	23
254	3294000	5214000	4253895	5
256	3351000	5027000	4188881	5
258	4142000	6215000	5178391	4
263	1461000	2193000	1826738	243
266	2545000	7636000	5090332	9
274	1664000	2624000	2144289	13
277	2446000	3671000	3058615	4
285	3837000	7462000	5649348	17
287	5167000	8093000	6629798	5156
292	6299000	10670000	8484469	136
293	1674000	5024000	3349074	13
294	4129000	8654000	6391369	200
296	4057000	6087000	5072204	21
298	4952000	8233000	6592554	10
300	2607000	7824000	5215600	22
301	2436000	7311000	4873436	22
303	3374000	8780000	6077201	129
305	4245000	6798000	5521368	123
316	2161000	6484000	4322621	263
317	4458000	7743000	6100327	374
329	2627000	7884000	5255848	18
